time,NO2,CO,PM2.5,PM10
2019-01-04,30,34,120,78
2019-01-05,32,36,105,70
2019-01-06,21,17,115,78
2019-01-07,30,32,126,71
2019-01-08,11,22,65,43
2019-01-09,9,17,67,45
2019-01-10,10,26,93,61
2019-01-11,38,33,144,89
2019-01-12,15,41,154,92
2019-01-13,17,24,102,63
2019-01-14,24,24,117,74
2019-01-15,23,20,97,65
2019-01-16,13,12,65,44
2019-01-17,32,23,77,51
2019-01-18,20,18,138,86
2019-01-19,81,49,174,149
2019-01-20,48,30,190,182
2019-01-21,14,23,54,45
2019-01-22,53,26,150,114
2019-01-23,81,28,194,123
2019-01-24,87,36,208,161
2019-01-25,63,51,197,123
2019-01-26,60,26,238,127
2019-01-27,87,32,250,154
2019-01-28,82,28,131,92
